category,transformed text
4,tv futur hand viewer home theatr system plasma tv digit video record move live room way peopl watch tv radic differ five year time accord expert panel gather annual consum electron show la vega discuss new technolog impact one favourit pastim us lead trend program content deliv viewer via home network cabl satellit telecom compani broadband servic provid front room portabl devic one technolog ce digit person video record dvr pvr box like us tivo uk system allow peopl record store play paus forward wind tv program want essenti technolog allow much personalis tv also tv set big busi japan us slower take europ lack program peopl forward wind advert also forget abid network channel schedul put togeth entertain us network cabl satellit compani worri mean term advertis revenu well brand ident viewer loyalti channel although us lead technolog moment also concern rais europ particularli grow uptak servic like happen today see nine month year time uk adam hume bbc broadcast futurologist tell bbc news websit like bbc issu lose advertis revenu yet press issu moment commerci uk broadcast brand loyalti import everyon talk content brand rather network brand say tim hanlon brand commun firm starcom mediavest realiti broadband connect anybodi produc content ad challeng hard promot programm much choic mean say stacey jolna senior vice presid tv guid tv group way peopl find content want watch simplifi tv viewer mean network us term channel could take leaf googl book search engin futur instead schedul help peopl find want watch kind channel model might work younger ipod gener use take control gadget play might suit everyon panel recognis older gener comfort familiar schedul channel brand know get perhap want much choic put hand mr hanlon suggest end kid diaper push button alreadi everyth possibl avail say mr hanlon ultim consum tell market want 50 000 new gadget technolog showcas ce mani enhanc experi tv set everywher mani new model lcd liquid crystal display tv launch dvr capabl build instead extern box one exampl launch show humax lcd tv tivo dvr dvd record one us biggest satellit tv compani directtv even launch brand dvr show record capabl instant replay search function set paus rewind tv 90 hour microsoft chief bill gate announc keynot speech partnership tivo call tivotogo mean peopl play record program window pc mobil devic reflect increas trend free multimedia peopl watch want want
0,worldcom boss leav book alon former worldcom boss berni ebber accus overse 11bn fraud never make account decis wit tell juror david myer make comment question defenc lawyer argu mr ebber respons worldcom problem phone compani collaps 2002 prosecutor claim loss hide protect firm share mr myer alreadi plead guilti fraud assist prosecutor monday defenc lawyer reid weingarten tri distanc client alleg cross examin ask mr myer ever know mr ebber make account decis awar mr myer repli ever know mr ebber make account entri worldcom book mr weingarten press repli wit mr myer admit order fals account entri request former worldcom chief financi offic scott sullivan defenc lawyer tri paint mr sullivan admit fraud testifi later trial mastermind behind worldcom account hous card mr ebber team meanwhil look portray affabl boss admiss pe graduat economist whatev abil mr ebber transform worldcom rel unknown 160bn telecom giant investor darl late 1990 worldcom problem mount howev competit increas telecom boom peter firm final collaps sharehold lose 180bn 20 000 worker lose job mr ebber trial expect last two month find guilti former ceo face substanti jail sentenc firmli declar innoc
3,tiger wari farrel gambl leicest say rush make bid andi farrel great britain rugbi leagu captain decid switch code anybodi els involv process still way away go next stage tiger boss john well tell bbc radio leicest moment still lot unknown andi farrel least medic situat whoever take go take big big gambl farrel persist knee problem oper knee five week ago expect anoth three month leicest saracen believ head list rugbi union club interest sign farrel decid move game move across union well believ would better play back least initi sure could make step leagu union involv centr say well think england would prefer progress posit back row make use rugbi leagu skill within forward juri whether cross divid club balanc strike cost gambl option bring replac
3,yead face newcastl fa cup premiership side newcastl unit face trip ryman premier leagu leader yead fa cup third round game arguabl highlight draw potenti yead beat slough second round confer side exet citi knock doncast saturday travel old trafford meet holder manchest unit januari arsen draw home stoke chelsea play host scunthorp side draw hinckley unit hold brentford goalless draw sunday meet leagu one leader luton win replay martin allen team griffin park number premiership team face difficult away game championship side weekend januari everton visit plymouth liverpool travel burnley crystal palac go sunderland fulham face carl cup watford bolton meet ipswich aston villa draw sheffield unit premiership struggler norwich blackburn west brom away west ham cardiff preston north end respect southampton visit northampton alreadi beat leagu two side carl cup earlier season middlesbrough draw away either swindon nott counti spur entertain brighton white hart lane arsen v stoke co v middlesbrough man utd v exet plymouth v everton leicest v blackpool derbi v wigan sunderland v crystal palac wolv v millwal yead v newcastl hull v colchest tottenham v brighton read v birmingham v leed hartlepool v boston milton keyn v peterborough oldham v man citi chelsea v scunthorp cardiff v blackburn charlton v rochdal west ham v norwich sheff utd v aston villa preston v west brom rotherham v yeovil burnley v liverpool bournemouth v chester coventri v crew watford v fulham ipswich v bolton portsmouth v gillingham northampton v southampton qpr v nottm forest luton v match play weekend januari
1,ocean twelv raid box offic ocean twelv crime caper sequel star georg clooney brad pitt julia robert go straight number one us box offic chart take weekend ticket sale accord studio estim sequel follow master crimin tri pull three major heist across europ knock last week number one nation treasur third place wesley snip blade triniti second take round top five anim fabl polar express star tom hank festiv comedi christma krank ocean twelv box offic triumph mark open decemb releas us three film lord ring trilog sequel narrowli beat 2001 predecessor ocean eleven take open weekend 184m total remak 1960 film star frank sinatra rat pack ocean eleven direct director steven soderbergh soderbergh return direct hit sequel reunit clooney pitt robert matt damon andi garcia elliott gould catherin join cast fun good holiday movi say dan fellman presid distribut warner howev us critic less complimentari 110m project lo angel time label dispirit vaniti project milder review new york time dub sequel unabashedli trivial
2,howard hit back mongrel jibe michael howard say claim peter hain tori leader act like attack mongrel show labour rattl opposit upbeat speech parti spring confer brighton say labour campaign tactic prove tori hit home mr hain make claim tori tactic bill debat someth tell someon somewher littl bite rattl mr howard say mr hain leader common tell bbc radio four today programm mr howard stanc govern legisl put countri risk accus tori leader behav like attack mongrel play opposit opposit sake mr howard tell parti labour would anyth say anyth claim anyth cling offic cost far year compar fagin shylock fli pig morn peter hain even call mongrel know someth tell someon somewher littl bite rattl environ secretari margaret beckett reject mr howard comment tell radio 4 pm programm labour rattl real duti tri get peopl focu michael howard record propos tri put forward countri also mani exampl see believ realli poor judgement behalf mr howard say tori polici school tax immigr crime strike chord voter sinc begin year elect year make polit weather tell parti confer mr howard deni play polit rais case margaret dixon whose oper cancel seven time grab headlin parti two week ago hit back labour claim use mr dixon human shield human shield mr blair human mr howard say parti plan immigr quota also focu much media coverag racist common sens pledg cleaner hospit better school disciplin promis get rid polit correct nation curriculum give everyon chanc decent state educ come ordinari famili teenag michael howard appli cambridg today gordon brown would love stress parti commit cut tax red tape increas basic state pension line earn finish person appeal parti activist go win next elect one day abl tell children grandchildren tell mine bite play part help win famou elect elect transform countri better labour elect alan milburn say michael howard speech today confirm alway say strategi opportun forward vision countri refer appear mr howard famili confer stage mr milburn say michael howard perfectli entitl pose famili today hard work famili across britain damag plan cut public spend
2,blair prepar name poll date toni blair like name 5 may elect day parliament return easter break bbc polit editor learn andrew marr say mr blair ask queen 4 5 april dissolv parliament end week mr blair far resist call name day parti step campaign recent street would draw claim say elect time matter prime minist number 10 spokeswoman would say announc elect want announc elect move signal frantic week westminst govern like tri get key legisl parliament govern need financ bill cover budget plan pass common close busi end session 7 april also seek push seriou organis crime bill id card bill mr marr say wednesday today programm almost nobodi senior level insid govern parliament expect elect call 4 5 april soon common back short easter recess toni blair whip palac ask queen dissolv parliament go labour govern offici june 2006 hold gener elect recent year govern favour term
3,henman hop end dubai third seed tim henman slump straight set defeat dubai open ivan ljubic croatian eighth seed book place last four victori british number one henman look cours level match go second set progress halt rain interven ljubic hit back break seal fourth straight win henman earlier day spanish fifth seed tommi robredo secur place beat nicola kiefer germani afterward henman leav curs weather umpir seven break rain match incred frustrat henman say rain umpir take control keep tell us play till end game rain come score irrelev frustrat happi form expect desert
3,wilkinson fit face edinburgh england captain jonni wilkinson make return injuri edinburgh saturday wilkinson play sinc injur bicep 17 octob take part train newcastl falcon wednesday start saturday heineken cup match murrayfield bench newcastl director rugbi rob andrew say fine hope get game stage miss england autumn intern aggrav haematoma upper right arm saracen subsequ replac england captain jason robinson sale charli hodgson take number 10 shirt intern canada south africa australia wilkinson year disrupt injuri muscl problem follow eight month sidelin shoulder injuri sustain world cup final
1,last star war children sixth final star war movi may suitabl young children georg luca say tell us tv show 60 minut reveng sith would darkest violent seri think would take five tell cb programm air sunday luca predict film would get us rat advis parent scene may unsuit open uk us 19 may say expect film would classifi roughli equival british 12a rate five previou star war film carri less restrict pg parent guidanc rat us uk pass u suitabl except attack clone get pg rat reveng sith third prequel origin 1977 star war film chronicl transform heroic anakin skywalk evil darth vader travel planet compos erupt volcano melt lava go watch make pact devil luca say film much dark emot much tragedi
1,berlin cheer film german movi resist heroin draw loud applaus berlin film festiv sophi scholl final day portray final day member white rise movement scholl 21 arrest behead brother han 1943 distribut leaflet condemn abhorr tyranni adolf hitler director marc rothemund say feel respons keep legaci scholl go must somehow keep idea aliv ad film draw transcript gestapo interrog scholl trial preserv archiv communist east germani secret polic discoveri inspir behind film rothemund work close surviv rel includ one scholl sister ensur histor accuraci film scholl member white rise resist group first start distribut leaflet summer arrest drop leaflet munich univers call day reckon adolf hitler regim film focu six day scholl arrest intens trial saw scholl initi deni charg end defiant appear one three german film vie top prize festiv south african film version bizet tragic opera carmen shoot cape town xhosa languag also premier berlin festiv film entitl ekhayelitsha carmen khayelitsha township stori set perform music theatr troup debut film perform film first south african featur 25 year second nomin golden bear award
0,virgin blue share plummet 20 share australian budget airlin virgin blue plung 20 warn steep fall full year profit virgin blue say profit tax year march would 10 15 lower previou year sluggish demand report previous novemb decemb 2004 continu say virgin blue chief execut brett godfrey virgin blue 25 richard branson struggl fend pressur rival jetstar cut full year passeng number forecast approxim virgin blue report 22 fall first quarter profit august 2004 due tough competit novemb first half profit due slack demand rise fuel cost virgin blue launch four year ago roughli one third australia domest airlin market nation carrier qanta fight back budget airlin jetstar take sky may virgin blue share recov slightli close 12 wednesday share major sharehold patrick corpor 46 virgin blue drop 31 close
